Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом","<div class=""thumb-item-carousel"" data-count=""3"">
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/f/3/af34d50db15781ba6966773b2246b189_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//c/e/a/ceafaa3531015ca43cd2812548882583_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/0/9/f09047d0f4f710604c6bc33824b1f17a_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом","<div class=""thumb-item-carousel"" data-count=""1"">
<img alt=""Фото авто MAN 48"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/d/c/fdcc46b836fd4945b339eed75bb4cd92_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом","<div class=""thumb-item-carousel"" data-count=""2"">
<img alt=""Фото авто MAN 48"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//8/2/7/82741d61009e440f9724f991872fe444_240x180.jpg"" title=""""/>
<img alt=""Фото авто MAN 48"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//7/a/8/7a856c79a6947501156d4320ade70ab5_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом","<div class=""thumb-item-carousel"" data-count=""1"">
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//5/4/3/543498815427ea30c8319ffd88acbbff_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<div class=""thumb-item-carousel"" data-count=""2"">
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/4/b/f4befdff32b42d84c58bfe8e924d57b8_240x180.jpg"" title=""""/>
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//1/3/4/13469a41ae558d53e37fc17769995d4f_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
Volvo FH,"$ 27 000
                                                                                                                             2 326 320 сом",
DAF XF95 series,"$ 19 500
                                                                                                                             1 680 120 сом",
Volvo FH,"$ 80 000
                                                                                                                             6 892 800 сом",
Volvo FH,"$ 47 000
                                                                                                                             4 049 520 сом",
Howo ZZ4187N3511V,"$ 16 000
                                                                                                                             1 378 560 сом",
Volvo FH,"$ 62 000
                                                                                                                             5 341 920 сом",
DAF 95 series,"$ 18 500
                                                                                                                             1 593 960 сом",
Renault Magnum,"$ 43 000
                                                                                                                             3 704 880 сом",
Mercedes-Benz 4x2,"$ 55 000
                                                                                                                             4 738 800 сом",
MAN TGS,"$ 32 000
                                                                                                                             2 757 120 сом",
Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом",
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом",
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом",
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
Volvo FH,"$ 27 000
                                                                                                                             2 326 320 сом",нет фото
DAF XF95 series,"$ 19 500
                                                                                                                             1 680 120 сом",нет фото
Volvo FH,"$ 80 000
                                                                                                                             6 892 800 сом",нет фото
Volvo FH,"$ 47 000
                                                                                                                             4 049 520 сом",нет фото
Howo ZZ4187N3511V,"$ 16 000
                                                                                                                             1 378 560 сом",нет фото
Volvo FH,"$ 62 000
                                                                                                                             5 341 920 сом",нет фото
DAF 95 series,"$ 18 500
                                                                                                                             1 593 960 сом",нет фото
Renault Magnum,"$ 43 000
                                                                                                                             3 704 880 сом",нет фото
Mercedes-Benz 4x2,"$ 55 000
                                                                                                                             4 738 800 сом",нет фото
MAN TGS,"$ 32 000
                                                                                                                             2 757 120 сом",нет фото
Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом",нет фото
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом",нет фото
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
Volvo FH,"$ 27 000
                                                                                                                             2 326 320 сом",нет фото
DAF XF95 series,"$ 19 500
                                                                                                                             1 680 120 сом",нет фото
Volvo FH,"$ 80 000
                                                                                                                             6 892 800 сом",нет фото
Volvo FH,"$ 47 000
                                                                                                                             4 049 520 сом",нет фото
Howo ZZ4187N3511V,"$ 16 000
                                                                                                                             1 378 560 сом",нет фото
Volvo FH,"$ 62 000
                                                                                                                             5 341 920 сом",нет фото
DAF 95 series,"$ 18 500
                                                                                                                             1 593 960 сом",нет фото
Renault Magnum,"$ 43 000
                                                                                                                             3 704 880 сом",нет фото
Mercedes-Benz 4x2,"$ 55 000
                                                                                                                             4 738 800 сом",нет фото
MAN TGS,"$ 32 000
                                                                                                                             2 757 120 сом",нет фото
Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом",нет фото
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом",нет фото
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто Renault Premium"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//0/5/8/058167155d402c34d17c707e6f712f44_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//d/a/4/da4d1013fd704f6dcb8f07b1efc0586e_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//7/d/0/7d0d0ec5c4f1890f697ca73109a789ba_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто MAN 26"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//8/4/9/84952160f5fccde6489298a818a3a269_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто Scania R"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//c/b/a/cbaf060a5707db2ebeeae56f117ce7e2_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//0/5/8/058167155d402c34d17c707e6f712f44_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//d/a/4/da4d1013fd704f6dcb8f07b1efc0586e_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//7/d/0/7d0d0ec5c4f1890f697ca73109a789ba_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//8/4/9/84952160f5fccde6489298a818a3a269_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//c/b/a/cbaf060a5707db2ebeeae56f117ce7e2_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//0/5/8/058167155d402c34d17c707e6f712f44_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//d/a/4/da4d1013fd704f6dcb8f07b1efc0586e_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//7/d/0/7d0d0ec5c4f1890f697ca73109a789ba_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//8/4/9/84952160f5fccde6489298a818a3a269_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//c/b/a/cbaf060a5707db2ebeeae56f117ce7e2_240x180.jpg
